,Date,Day,Territory,Menu Item,Price (VND),Price (USD),Category,Menu
233,2022/02/01,Tue,Vietnam,Caramel Frappe,72000.00,3.17,McCAFÉ,Breakfast
234,2022/02/01,Tue,Vietnam,Hot Tea,23000.00,1.01,McCAFÉ,Breakfast
235,2022/02/01,Tue,Vietnam,Iced Tea,23000.00,1.01,McCAFÉ,Breakfast
236,2022/02/01,Tue,Vietnam,Hot Apple Pie,27000.00,1.19,Dessert,Breakfast
237,2022/02/01,Tue,Vietnam,Butter Croissant,30000.00,1.32,Dessert,Breakfast
238,2022/02/01,Tue,Vietnam,Matcha Oreo McFlurry,41000.00,1.80,Dessert,Breakfast
239,2022/02/01,Tue,Vietnam,Oreo McFlurry,38000.00,1.67,Dessert,Breakfast
240,2022/02/01,Tue,Vietnam,Sundae Hot Fudge,31000.00,1.36,Dessert,Breakfast
241,2022/02/01,Tue,Vietnam,Sundae Strawberry,31000.00,1.36,Dessert,Breakfast
242,2022/02/01,Tue,Vietnam,Tiramisu,55000.00,2.42,Dessert,Breakfast
243,2022/02/01,Tue,Vietnam,Baked CheeseCake,35000.00,1.54,Dessert,Breakfast
244,2022/02/01,Tue,Vietnam,Blueberry Cheese Cake,35000.00,1.54,Dessert,Breakfast
245,2022/02/01,Tue,Vietnam,Banana Muffin,30000.00,1.32,Dessert,Breakfast
246,2022/02/01,Tue,Vietnam,Choco Brownie,30000.00,1.32,Dessert,Breakfast
247,2022/02/01,Tue,Vietnam,Chocolate Chip Cookie,25000.00,1.10,Dessert,Breakfast
248,2022/02/01,Tue,Vietnam,Coconut Macaroons 2Pc,25000.00,1.10,Dessert,Breakfast
249,2022/02/01,Tue,Vietnam,Coconut Macaroon,15000.00,0.66,Dessert,Breakfast
250,2022/02/01,Tue,Vietnam,2 packs of ketchup,4000.00,0.18,Condiment,Breakfast
251,2022/02/01,Tue,Vietnam,2 Packs of Sweet Chili,4000.00,0.18,Condiment,Breakfast
