,Date,Day,Territory,Menu Item,Price (JPY),Price (USD),Category,Menu
108,2022/02/26,Sat,Japan,McGriddles Sausage & Egg,340.00,2.94,Sandwiches,Breakfast Menu
109,2022/02/26,Sat,Japan,McGriddles Bacon & Egg,340.00,2.94,Sandwiches,Breakfast Menu
110,2022/02/26,Sat,Japan,McGriddles Sausage,170.00,1.47,Sandwiches,Breakfast Menu
111,2022/02/26,Sat,Japan,Mega Muffin,400.00,3.46,Sandwiches,Breakfast Menu
112,2022/02/26,Sat,Japan,Big Breakfast,460.00,3.98,Sandwiches,Breakfast Menu
113,2022/02/26,Sat,Japan,Big Breakfast Deluxe,690.00,5.97,Sandwiches,Breakfast Menu
114,2022/02/26,Sat,Japan,Smile,0.00,0.00,Sandwiches,Breakfast Menu
115,2022/02/26,Sat,Japan,Hash Potato,180.00,1.56,Sides,Breakfast Menu
116,2022/02/26,Sat,Japan,Chicken McNuggets® 5Pcs,240.00,2.08,Sides,Breakfast Menu
117,2022/02/26,Sat,Japan,Chicken McNuggets® 15Pcs,680.00,5.88,Sides,Breakfast Menu
118,2022/02/26,Sat,Japan,Side Salad,340.00,2.94,Sides,Breakfast Menu
119,2022/02/26,Sat,Japan,Edamame & Corn,290.00,2.51,Sides,Breakfast Menu
120,2022/02/26,Sat,Japan,Yogurt,220.00,1.90,Sides,Breakfast Menu
121,2022/02/26,Sat,Japan,Smile,0.00,0.00,Sides,Breakfast Menu
122,2022/02/26,Sat,Japan,Sujahta ice vanilla,320.00,2.77,Sweets,Breakfast Menu
123,2022/02/26,Sat,Japan,McFlurry® with OREO® Cookie,270.00,2.34,Sweets,Breakfast Menu
124,2022/02/26,Sat,Japan,McFlurry® with Cho OREO® Cookie,340.00,2.94,Sweets,Breakfast Menu
125,2022/02/26,Sat,Japan,McShake® Vanilla,140.00,1.21,Sweets,Breakfast Menu
126,2022/02/26,Sat,Japan,McShake® Strawberry,140.00,1.21,Sweets,Breakfast Menu
127,2022/02/26,Sat,Japan,McShake® Chocolate,140.00,1.21,Sweets,Breakfast Menu
128,2022/02/26,Sat,Japan,Petit Pancakes,230.00,1.99,Sweets,Breakfast Menu
129,2022/02/26,Sat,Japan,Hot Apple Pie,120.00,1.04,Sweets,Breakfast Menu
130,2022/02/26,Sat,Japan,Smile,0.00,0.00,Sweets,Breakfast Menu
131,2022/02/26,Sat,Japan,Suntory Kuro Oolong Tea#Strong,290.00,2.51,Beverages,Breakfast Menu
132,2022/02/26,Sat,Japan,Premium Roast Coffee,120.00,1.04,Beverages,Breakfast Menu
133,2022/02/26,Sat,Japan,Café Latte,180.00,1.56,Beverages,Breakfast Menu
134,2022/02/26,Sat,Japan,Caramel Latte,250.00,2.16,Beverages,Breakfast Menu
135,2022/02/26,Sat,Japan,Premium Roast Ice Coffee,120.00,1.04,Beverages,Breakfast Menu
136,2022/02/26,Sat,Japan,Iced Café Latte,180.00,1.56,Beverages,Breakfast Menu
137,2022/02/26,Sat,Japan,Iced Caramel Latte,250.00,2.16,Beverages,Breakfast Menu
138,2022/02/26,Sat,Japan,Coca Cola Zero,120.00,1.04,Beverages,Breakfast Menu
139,2022/02/26,Sat,Japan,Coca Cola,120.00,1.04,Beverages,Breakfast Menu
140,2022/02/26,Sat,Japan,Sprite,120.00,1.04,Beverages,Breakfast Menu
141,2022/02/26,Sat,Japan,Fanta Grape,120.00,1.04,Beverages,Breakfast Menu
142,2022/02/26,Sat,Japan,Qoo White Grape,120.00,1.04,Beverages,Breakfast Menu
143,2022/02/26,Sat,Japan,Sokenbicha,120.00,1.04,Beverages,Breakfast Menu
144,2022/02/26,Sat,Japan,Minute Maid Orange,170.00,1.47,Beverages,Breakfast Menu
145,2022/02/26,Sat,Japan,Hot Tea (Milk),120.00,1.04,Beverages,Breakfast Menu
146,2022/02/26,Sat,Japan,Hot Tea (Lemon),120.00,1.04,Beverages,Breakfast Menu
147,2022/02/26,Sat,Japan,Earlgrey Iced Tea(Milk),120.00,1.04,Beverages,Breakfast Menu
148,2022/02/26,Sat,Japan,Earlgrey Iced Tea(Lemon),120.00,1.04,Beverages,Breakfast Menu
149,2022/02/26,Sat,Japan,Milk,220.00,1.90,Beverages,Breakfast Menu
150,2022/02/26,Sat,Japan,Minute Maid Apple100,160.00,1.38,Beverages,Breakfast Menu
151,2022/02/26,Sat,Japan,Yasaiseikatsu100,170.00,1.47,Beverages,Breakfast Menu
152,2022/02/26,Sat,Japan,Smile,0.00,0.00,Beverages,Breakfast Menu
153,2022/02/26,Sat,Japan,Egg McMuffin® Happy Meal™,550.00,4.76,Happy Meals,Breakfast Menu
154,2022/02/26,Sat,Japan,Chicken McNuggets® Happy Meal™,550.00,4.76,Happy Meals,Breakfast Menu
155,2022/02/26,Sat,Japan,Petit Pancakes Happy Meal™,510.00,4.41,Happy Meals,Breakfast Menu
156,2022/02/26,Sat,Japan,Hotcakes Happy Meal™,550.00,4.76,Happy Meals,Breakfast Menu
157,2022/02/26,Sat,Japan,Smile,0.00,0.00,Happy Meals,Breakfast Menu
