,Date,Day,Territory,Menu Item,Price (PHP),Price (USD),Category,Menu
69,2022/05/20,Fri,Philippines,Strawberry Shake,94.00,1.80,Desserts & Drinks,Regular
70,2022/05/20,Fri,Philippines,Coke,61.00,1.17,Desserts & Drinks,Regular
71,2022/05/20,Fri,Philippines,Coke Zero,61.00,1.17,Desserts & Drinks,Regular
72,2022/05/20,Fri,Philippines,Sprite,61.00,1.17,Desserts & Drinks,Regular
73,2022/05/20,Fri,Philippines,Orange Juice,65.00,1.24,Desserts & Drinks,Regular
74,2022/05/20,Fri,Philippines,Pineapple Juice,65.00,1.24,Desserts & Drinks,Regular
75,2022/05/20,Fri,Philippines,Iced Tea,65.00,1.24,Desserts & Drinks,Regular
76,2022/05/20,Fri,Philippines,McCafé Caramel Popcorn Iced Coffee,57.00,1.09,McCafé,Regular
77,2022/05/20,Fri,Philippines,Medium Iced Coffee Sweet Black with Caramel Popcorn Syrup,57.00,1.09,McCafé,Regular
78,2022/05/20,Fri,Philippines,Medium Iced Coffee Milky with Caramel Popcorn Syrup,68.00,1.30,McCafé,Regular
79,2022/05/20,Fri,Philippines,McCafé Caramel Popcorn Coffee Float,78.00,1.49,McCafé,Regular
80,2022/05/20,Fri,Philippines,McCafé Premium Roast Coffee,37.00,0.71,McCafé,Regular
81,2022/05/20,Fri,Philippines,McCafé Coffee Float,63.00,1.21,McCafé,Regular
82,2022/05/20,Fri,Philippines,McCafé Iced Coffee Original,42.00,0.80,McCafé,Regular
83,2022/05/20,Fri,Philippines,McCafé Iced Coffee Vanilla,53.00,1.01,McCafé,Regular
84,2022/05/20,Fri,Philippines,McCafé Iced Coffee Chocolate,53.00,1.01,McCafé,Regular
85,2022/05/20,Fri,Philippines,McCafé Iced Coffee Milky,53.00,1.01,McCafé,Regular
86,2022/05/20,Fri,Philippines,McCafé Iced Coffee Milky w/ Vanilla,63.00,1.21,McCafé,Regular
87,2022/05/20,Fri,Philippines,McCafé Iced Coffee Milky w/ Chocolate,63.00,1.21,McCafé,Regular
88,2022/05/20,Fri,Philippines,McCafé Iced Coffee Sweet Black,42.00,0.80,McCafé,Regular
89,2022/05/20,Fri,Philippines,McCafé Iced Coffee Sweet Black w/ Vanilla,53.00,1.01,McCafé,Regular
90,2022/05/20,Fri,Philippines,McCafé Iced Coffee Sweet Black w/ Chocolate,53.00,1.01,McCafé,Regular
91,2022/05/20,Fri,Philippines,Regular Fries,42.00,0.80,Fries & Extras,Regular
92,2022/05/20,Fri,Philippines,Small Shake Shake Fries Nori,52.00,1.00,Fries & Extras,Regular
93,2022/05/20,Fri,Philippines,Small Shake Shake Fries BBQ,52.00,1.00,Fries & Extras,Regular
94,2022/05/20,Fri,Philippines,Small Shake Shake Fries Cheese,52.00,1.00,Fries & Extras,Regular
95,2022/05/20,Fri,Philippines,Extra Plain Rice,34.00,0.65,Fries & Extras,Regular
96,2022/05/20,Fri,Philippines,Extra Garlic Rice,37.00,0.71,Fries & Extras,Regular
97,2022/05/20,Fri,Philippines,Hash Browns,39.00,0.75,Fries & Extras,Regular
98,2022/05/20,Fri,Philippines,Extra Egg,20.00,0.38,Fries & Extras,Regular
99,2022/05/20,Fri,Philippines,Extra Gravy,10.00,0.19,Fries & Extras,Regular
100,2022/05/20,Fri,Philippines,Extra BBQ Powder,10.00,0.19,Fries & Extras,Regular
101,2022/05/20,Fri,Philippines,Extra Cheese Powder,10.00,0.19,Fries & Extras,Regular
102,2022/05/20,Fri,Philippines,Extra McCrispy Chicken Fillet Ala King Sauce,10.00,0.19,Fries & Extras,Regular
103,2022/05/20,Fri,Philippines,Extra Mushroom Pepper Steak Sauce,10.00,0.19,Fries & Extras,Regular
104,2022/05/20,Fri,Philippines,Extra BBQ Sauce,12.00,0.23,Fries & Extras,Regular
105,2022/05/20,Fri,Philippines,Extra Sweet N' Sour Sauce,12.00,0.23,Fries & Extras,Regular
106,2022/05/20,Fri,Philippines,Extra Mayonnaise,15.00,0.29,Fries & Extras,Regular
107,2022/05/20,Fri,Philippines,Extra Nori Powder,15.00,0.29,Fries & Extras,Regular
108,2022/05/20,Fri,Philippines,Extra Maple Syrup,10.00,0.19,Fries & Extras,Regular
109,2022/05/20,Fri,Philippines,Extra Butter,10.00,0.19,Fries & Extras,Regular
110,2022/05/20,Fri,Philippines,Extra Cheese,15.00,0.29,Fries & Extras,Regular
111,2022/05/20,Fri,Philippines,1-pc. Chicken McDo Happy Meal,152.00,2.91,Happy Meal,Regular
112,2022/05/20,Fri,Philippines,Cheesy Burger McDo Happy Meal,137.00,2.62,Happy Meal,Regular
113,2022/05/20,Fri,Philippines,Burger McDo Happy Meal,124.00,2.37,Happy Meal,Regular
114,2022/05/20,Fri,Philippines,2-pc. Hotcakes Happy Meal,121.00,2.32,Happy Meal,Regular
115,2022/05/20,Fri,Philippines,Cheesy Eggdesal Happy Meal,124.00,2.37,Happy Meal,Regular
