,Date,Day,Territory,Menu Item,Price (PKR),Price (USD),Category,Menu
126,2024/01/26,Fri,Pakistan,McFlurry - Oreo,435.00,1.55,Desserts,Breakfast
127,2024/01/26,Fri,Pakistan,Chocolate Sundae,375.00,1.34,Desserts,Breakfast
128,2024/01/26,Fri,Pakistan,Apple Pie,375.00,1.34,Desserts,Breakfast
129,2024/01/26,Fri,Pakistan,Cardamom Tea,289.00,1.03,Beverages,Breakfast
130,2024/01/26,Fri,Pakistan,Regular Tea,254.00,0.91,Beverages,Breakfast
131,2024/01/26,Fri,Pakistan,Green Tea,203.00,0.73,Beverages,Breakfast
132,2024/01/26,Fri,Pakistan,Orange Juice,332.00,1.19,Beverages,Breakfast
133,2024/01/26,Fri,Pakistan,Vanila Shake,375.00,1.34,Beverages,Breakfast
134,2024/01/26,Fri,Pakistan,Chocolate Shake,375.00,1.34,Beverages,Breakfast
135,2024/01/26,Fri,Pakistan,Strawberry Shake,375.00,1.34,Beverages,Breakfast
136,2024/01/26,Fri,Pakistan,McFizz Strawberry,289.00,1.03,Beverages,Breakfast
137,2024/01/26,Fri,Pakistan,Coke,203.00,0.73,Beverages,Breakfast
138,2024/01/26,Fri,Pakistan,Sprite,203.00,0.73,Beverages,Breakfast
139,2024/01/26,Fri,Pakistan,Fanta,203.00,0.73,Beverages,Breakfast
140,2024/01/26,Fri,Pakistan,Coke Zero,203.00,0.73,Beverages,Breakfast
141,2024/01/26,Fri,Pakistan,Bottled Water,39.00,0.14,Beverages,Breakfast
142,2024/01/26,Fri,Pakistan,Hot Cakes 3pc,504.00,1.80,Sides,Breakfast
143,2024/01/26,Fri,Pakistan,Hash Brown,246.00,0.88,Sides,Breakfast
144,2024/01/26,Fri,Pakistan,Chocolate Lava Cake,315.00,1.13,McCafé Bakery,Breakfast
145,2024/01/26,Fri,Pakistan,Red Velvet Lave Cake,315.00,1.13,McCafé Bakery,Breakfast
146,2024/01/26,Fri,Pakistan,Caramel Cake,504.00,1.80,McCafé Bakery,Breakfast
147,2024/01/26,Fri,Pakistan,Red Velvet Cheese Cake,504.00,1.80,McCafé Bakery,Breakfast
148,2024/01/26,Fri,Pakistan,Chocolate Fudge Cake,504.00,1.80,McCafé Bakery,Breakfast
149,2024/01/26,Fri,Pakistan,6pcs Donuts,1323.00,4.73,McCafé Bakery,Breakfast
150,2024/01/26,Fri,Pakistan,Boston Cream,263.00,0.94,McCafé Bakery,Breakfast
151,2024/01/26,Fri,Pakistan,Chocolate Fudge,263.00,0.94,McCafé Bakery,Breakfast
152,2024/01/26,Fri,Pakistan,Caramel Cream,263.00,0.94,McCafé Bakery,Breakfast
153,2024/01/26,Fri,Pakistan,Vanilla Sprinkle,263.00,0.94,McCafé Bakery,Breakfast
154,2024/01/26,Fri,Pakistan,Chocolate Sprinkle,263.00,0.94,McCafé Bakery,Breakfast
155,2024/01/26,Fri,Pakistan,Caramel Ring,263.00,0.94,McCafé Bakery,Breakfast
156,2024/01/26,Fri,Pakistan,Butter Croissant,375.00,1.34,McCafé Bakery,Breakfast
157,2024/01/26,Fri,Pakistan,Double Chocolate Muffin,375.00,1.34,McCafé Bakery,Breakfast
158,2024/01/26,Fri,Pakistan,Milk Chocolate Cookie,246.00,0.88,McCafé Bakery,Breakfast
159,2024/01/26,Fri,Pakistan,Double Chocolate Cookie,246.00,0.88,McCafé Bakery,Breakfast
160,2024/01/26,Fri,Pakistan,Babyccino,151.00,0.54,McCafé Drinks,Breakfast
161,2024/01/26,Fri,Pakistan,Espresso - Single Shot,194.00,0.69,McCafé Drinks,Breakfast
162,2024/01/26,Fri,Pakistan,Macchiato,194.00,0.69,McCafé Drinks,Breakfast
