,Date,Day,Territory,Menu Item,Price (MYR),Price (USD),Category,Menu
143,2024/07/14,Sun,Malaysia,Iced Latte,8.40,1.80,McCafe Drinks,Breakfast
144,2024/07/14,Sun,Malaysia,Latte,7.45,1.60,McCafe Drinks,Breakfast
145,2024/07/14,Sun,Malaysia,Cappuccino,7.45,1.60,McCafe Drinks,Breakfast
146,2024/07/14,Sun,Malaysia,Americano,6.51,1.39,McCafe Drinks,Breakfast
147,2024/07/14,Sun,Malaysia,Iced Americano,7.45,1.60,McCafe Drinks,Breakfast
148,2024/07/14,Sun,Malaysia,Iced Chocolate,10.85,2.32,McCafe Drinks,Breakfast
149,2024/07/14,Sun,Malaysia,Ice Blended Chocolate,13.68,2.93,McCafe Drinks,Breakfast
150,2024/07/14,Sun,Malaysia,Ice Blended Milo,13.68,2.93,McCafe Drinks,Breakfast
151,2024/07/14,Sun,Malaysia,Iced Mocha,10.85,2.32,McCafe Drinks,Breakfast
152,2024/07/14,Sun,Malaysia,Ice Blended Mocha,13.68,2.93,McCafe Drinks,Breakfast
153,2024/07/14,Sun,Malaysia,Ice Blended Mango Peach,10.28,2.20,McCafe Drinks,Breakfast
154,2024/07/14,Sun,Malaysia,Belgium Chocolate + McCafé Drink,15.08,3.23,McCafe Drinks,Breakfast
155,2024/07/14,Sun,Malaysia,Red Velvet Cake + McCafé Drink,15.08,3.23,McCafe Drinks,Breakfast
156,2024/07/14,Sun,Malaysia,Classic Cheesecake + McCafé Drink,16.03,3.43,McCafe Drinks,Breakfast
157,2024/07/14,Sun,Malaysia,Belgium Chocolate Cake,13.11,2.81,McCafe Cakes,Breakfast
158,2024/07/14,Sun,Malaysia,Red Velvet Cake,13.11,2.81,McCafe Cakes,Breakfast
159,2024/07/14,Sun,Malaysia,Classic Cheesecake,13.11,2.81,McCafe Cakes,Breakfast
160,2024/07/14,Sun,Malaysia,Belgium Chocolate + McCafé Drink,15.08,3.23,McCafe Cakes,Breakfast
161,2024/07/14,Sun,Malaysia,Red Velvet Cake + McCafé Drink,15.08,3.23,McCafe Cakes,Breakfast
162,2024/07/14,Sun,Malaysia,Classic Cheesecake + McCafé Drink,16.03,3.43,McCafe Cakes,Breakfast
163,2024/07/14,Sun,Malaysia,Chocolate Sundae & Chocolate,6.04,1.29,Desserts & Sides,Breakfast
164,2024/07/14,Sun,Malaysia,Chocolate Sundae & Strawberry,6.04,1.29,Desserts & Sides,Breakfast
165,2024/07/14,Sun,Malaysia,Banana Pie,5.57,1.19,Desserts & Sides,Breakfast
166,2024/07/14,Sun,Malaysia,Strawberry Chocolate Pie,6.04,1.29,Desserts & Sides,Breakfast
167,2024/07/14,Sun,Malaysia,Gula Melaka OREO® McFlurry™,8.40,1.80,Desserts & Sides,Breakfast
168,2024/07/14,Sun,Malaysia,Apple Pie,4.95,1.06,Desserts & Sides,Breakfast
169,2024/07/14,Sun,Malaysia,OREO® McFlurry™,7.78,1.67,Desserts & Sides,Breakfast
170,2024/07/14,Sun,Malaysia,Chocolate Sundae,5.90,1.26,Desserts & Sides,Breakfast
171,2024/07/14,Sun,Malaysia,Strawberry Sundae,5.90,1.26,Desserts & Sides,Breakfast
172,2024/07/14,Sun,Malaysia,Hash Browns,4.95,1.06,Desserts & Sides,Breakfast
173,2024/07/14,Sun,Malaysia,Orange McFizz™,6.70,1.44,Drinks,Breakfast
174,2024/07/14,Sun,Malaysia,Hot MILO®,5.66,1.21,Drinks,Breakfast
175,2024/07/14,Sun,Malaysia,Hot Tea,5.47,1.17,Drinks,Breakfast
176,2024/07/14,Sun,Malaysia,MILO®,7.83,1.68,Drinks,Breakfast
177,2024/07/14,Sun,Malaysia,Hot Teh Tarik,5.47,1.17,Drinks,Breakfast
178,2024/07/14,Sun,Malaysia,Coca-Cola®,5.47,1.17,Drinks,Breakfast
179,2024/07/14,Sun,Malaysia,100 Plus,5.47,1.17,Drinks,Breakfast
180,2024/07/14,Sun,Malaysia,Sprite®,5.47,1.17,Drinks,Breakfast
181,2024/07/14,Sun,Malaysia,Iced Lemon Tea,6.89,1.48,Drinks,Breakfast
182,2024/07/14,Sun,Malaysia,Minute Maid® Orange Juice,7.83,1.68,Drinks,Breakfast
183,2024/07/14,Sun,Malaysia,Drinking water,4.72,1.01,Drinks,Breakfast
184,2024/07/14,Sun,Malaysia,Sambal,0.94,0.20,Condiments,Breakfast
